ID,UTTERANCES,IOB SLOT TAGS
515,who was the director of the movie avatar,O O O O O O O B_movie
516,who directed star wars four,O O B_movie I_movie I_movie
517,who directed the movie in july,O O O O B_movie I_movie
518,who made steel magnolias,O O B_movie I_movie
519,the silence of the lambs director,I_movie I_movie I_movie I_movie I_movie O
520,director of the incredibles,O O B_movie I_movie
521,gilda director,B_movie O
522,list gilda director,O B_movie O
523,search director for gilda,O O O B_movie
524,search gilda director,O B_movie O
525,the movie gilda director,O O B_movie O
526,who directed gilda,O O B_movie
527,who directed gilda,O O B_movie
528,who directed gilda,O O B_movie
529,who directed the movie gilda,O O O O B_movie
530,goodfellas director,B_movie O
531,who made field of dreams,O O B_movie I_movie I_movie
532,who made the movie field of dreams,O O O O B_movie I_movie I_movie
533,who made the movie field of dreams possible,O O O O B_movie I_movie I_movie O
534,can i please see more details for the director of finding nemo,O O O O O O O O O O B_movie I_movie
535,find the director for finding nemo,O O O O B_movie I_movie
536,i want to know the director of finding nemo,O O O O O O O B_movie I_movie
537,i want to know who directed finding nemo,O O O O O O B_movie I_movie
538,show me finding nemo director,O O B_movie I_movie O
539,who directed finding nemo,O O B_movie I_movie
540,who directed finding nemo,O O B_movie I_movie
541,who directed finding nemo,O O B_movie I_movie
542,who directed finding nemo,O O B_movie I_movie
543,who directed finding nemo,O O B_movie I_movie
544,who directed finding nemo,O O B_movie I_movie
545,who was the director of the film finding nemo,O O O O O O O B_movie I_movie
546,who directed hitch,O O B_movie
547,who made hitch,O O B_movie
548,director for anne of green gables,O O B_movie I_movie I_movie I_movie
549,search director of the movie platoon,O O O O O B_movie
550,who was the director of movie varsham,O O O O O O B_movie
551,who directed grizzly man,O O B_movie I_movie
552,who directed to kill a mockingbird,O O B_movie I_movie I_movie I_movie
553,who was the director of the movie e t,O O O O O O O B_movie I_movie
554,find the director for et,O O O O B_movie
555,who made et,O O B_movie
556,who was the director of the movie jaws,O O O O O O O B_movie
557,look up info about jurassic park's director,O O O O B_movie I_movie O O
558,who directed jurassic park,O O B_movie I_movie
559,who directed jurassic park,O O B_movie I_movie
560,who directed jurassic park,O O B_movie I_movie
561,old man director,B_movie I_movie O
562,can you find out who directed the movie batman,O O O O O O O O B_movie
563,can you tell me who is the director of batman,O O O O O O O O O B_movie
564,who directed batman,O O B_movie
565,who is the director of batman,O O O O O B_movie
566,looper directors,B_movie O
567,who directed the perfect storm,O O B_movie I_movie I_movie
568,who directed dirty dancing,O O B_movie I_movie
569,director for pride and prejudice,O O B_movie I_movie I_movie
570,who directed the movie the thing called love,O O B_movie O B_movie I_movie I_movie I_movie
571,director of twilight,O O B_movie
572,twilight was directed by whom,B_movie O O O O
573,who else directs zombie movies,O O O B_subject O
574,director of hum tum,O O B_movie I_movie
575,director of the movie hum tum,O O O O B_movie I_movie
576,find the director of hum tum,O O O O B_movie I_movie
577,look for the director of hum tum,O O O O O B_movie I_movie
578,director of the cabin in the woods,O O B_movie I_movie I_movie I_movie I_movie
579,i am interested in who directed cabin in the woods,O O O O O O B_movie I_movie I_movie I_movie
580,show me who directed cabin in the woods,O O O O B_movie I_movie I_movie I_movie
581,who directed the movie cabin in the woods,O O O O B_movie I_movie I_movie I_movie
582,who directed soul surfer,O O B_movie I_movie
583,who directed the sandlot,O O B_movie I_movie
584,which director made a comedy,O O O O B_genre
585,director of halloween,O O B_movie
586,find the director of step up,O O O O B_movie I_movie
587,search for the director of step up,O O O O O B_movie I_movie
588,search for the director of step up,O O O O O B_movie I_movie
589,i need to know who directed black swan,O O O O O O B_movie I_movie
590,i want to look for the director of freedom writers,O O O O O O O O B_movie I_movie
591,i would like to look for the director of freedom writers,O O O O O O O O O B_movie I_movie
592,who directed the movie titanic,O O O O B_movie
593,who was the director of the movie the mechanic,O O O O O O O B_movie I_movie
594,find the director of mask,O O O O B_movie
595,director of the hulk,O O O B_movie
596,did robert wise direct the sound of music,O B_director I_director O B_movie I_movie I_movie I_movie
597,was robert wise the only director of the sound of music,O B_director I_director O O O O B_movie I_movie I_movie I_movie
598,who directed the sound of music,O O B_movie I_movie I_movie I_movie
599,who directed the sound of music,O O B_movie I_movie I_movie I_movie
600,who directed the sound of music,O O B_movie I_movie I_movie I_movie
601,what director shot the 1st lord of the rings film,O O O O O B_movie I_movie I_movie I_movie O
602,who directed return,O O B_movie
603,who is the director of return,O O O O O B_movie
604,search for the name of the director of return,O O O O O O O O B_movie
605,what was the name of the director in men in black 3,O O O O O O O O B_movie I_movie I_movie I_movie
606,what is the name of the director of the movie avengers,O O O O O O O O O O B_movie
607,find the name of the director of chips,O O O O O O O B_movie
608,name of director for house at the end of the street,O O O O B_movie I_movie I_movie I_movie I_movie I_movie I_movie
609,name the director of sleepless in seattle,O O O O B_movie I_movie I_movie
610,find name of director of the movie platoon,O O O O O O O B_movie
611,get me the name of who directed the master,O O B_movie O O O O B_movie I_movie
612,what is the director's name of lord of the rings,O O I_movie O O I_movie I_movie I_movie I_movie I_movie
613,what is the name of the person who made et,O O O O O O O O O O
614,rocky director's name,B_movie O O
615,what type of movie is gilda,O O O O O B_movie
616,what types of movies does lionsgate produce,O O O O O B_producer O
617,what kind of movie is black swan,O O O O O B_movie I_movie
618,what genre is the hunger games,O O O B_movie I_movie I_movie
619,genre for transformers,O O B_movie
620,what genre is looper,O O O B_movie
621,what genre is the movie looper,O O O O O B_movie
622,what genre is rambo,O O O B_movie
623,what genre is the jaws movies,O O O O B_movie O
624,can you tell me the genre for 1000 words,O O O O O O O B_movie I_movie
625,i am interested in the genre for 1000 words,O O O O O O O B_movie I_movie
626,what type of movie is parenthood,O O O O O B_movie
627,give me the genre of the movie lawless,O O O O O O O B_movie
628,what genre is the movie lawless,O O O O O B_movie
629,what is the genre of the movie lawless,O O O O O O O B_movie
630,what genre is the movie in july,O O O O O B_movie I_movie
631,genre for gone with the wind,O O B_movie I_movie I_movie I_movie
632,how is the movie classified,O O O O O
633,what genre is the movie,O O O O O
634,what is the movie category,O O O O O
635,how would you describe the movie,O O O O O O
636,type of movie,O O O
637,what is the classification of movie,O O O O O O
638,what is the genre for movie,O O O O O O
639,what is the movie genre,O O O O O
640,what kind of movie,O O O O
641,what type of movie is this,O O O O O O
642,i would like look up the genre step up is in,O O O O O O O B_movie I_movie O O
643,search for the genre step up in,O O O O B_movie I_movie O
644,what genre is step up in,O O O B_movie I_movie O
645,what genre is calendar girls in,O O O B_movie I_movie O
646,what is the genre for the patriot,O O B_movie O O B_movie I_movie
647,what genre is network in,O O O B_movie O
648,find out the genre for the movie rebel,O O O O O O O B_movie
649,genre for the avengers,O O B_movie I_movie
650,can you tell me what genre the movie avatar falls in,O O O O O O O O B_movie O O
651,i need to know the genre of the movie avatar,O O O O O O O O O B_movie
652,show me the genre of the movie avatar,O O O O O O O B_movie
653,what genre is superman,O O O B_movie
654,pretty girl movie genre,B_movie I_movie O O
655,pretty girl what is the movie's genre,B_movie I_movie O O O O O O
656,what genre is pretty girl,O O O B_movie I_movie
657,what genre is the movie pretty girl,O O O O O B_movie I_movie
658,find out what kind of movie grease is,O O O O O O B_movie O
659,i d like to know the genre of the film grease,O O O O O O O O O O B_movie
660,i would like to know the genre of grease,O O O O O O O O B_movie
661,what kind of movie is grease,O O O O O B_movie
662,find out the genre for the movie annamayya,O O O O O O O B_movie
663,what movie category is friday the 13th,O O O O B_movie I_movie I_movie
664,tell me what genre the tommyknockers is,O O O O B_movie I_movie O
665,what genre is the hangover,O O O B_movie I_movie
666,what catergory is ted in,O O O B_movie O
667,what genre is ted considered,O O O B_movie O
668,what type of movie is ted considered to be,O O O O O B_movie O O O
669,genre for while you were sleeping,O O B_movie I_movie I_movie I_movie
670,what genre is finding nemo,O O O B_movie I_movie
671,which language is used in the movie,O O O O O O O
672,language of sound of music,O I_movie I_movie I_movie I_movie
673,what language is this film,O O O O O
674,what are the different languages this movie come in,O O O O O O O O O
675,what foreign language is spoken in movie,O O O O O O O
676,what language is movie in,O O O O O
677,what language is the movie in,O O O O O O
678,what language is the movie in,O O O O O O
679,language of anna karinia,O O B_movie I_movie
680,language of godzilla movie,O O B_movie O
681,language of hamlet,O O B_movie
682,can you tell me the language of the movie hero,O O O O O O O O O B_movie
683,i need to know what is the language of the movie hero,O O O O O O O O O O O B_movie
684,tell me what is the language of the movie hero,O O O O O O O O O B_movie
685,language of bullhead,O O B_movie
686,what language is shindler's list in,O O O B_movie I_movie I_movie O
687,what language did the characters speak in black swan,O O O O O O O B_movie I_movie
688,what language is black swan,O O O B_movie I_movie
689,please find what language the chaser is in,O O O O B_movie I_movie O O
690,what language is the chaser in,O O O B_movie I_movie O
691,look up what language the chaser is in,O O O O B_movie I_movie O O
692,ondskan's language,B_movie O O
693,what language is la havre in,O O O B_movie I_movie O
694,what foreign language is the movie belle available to view in,O O O O O O B_movie O O O O
695,what language can i watch the movie the professional,O O O O O O O B_movie I_movie
696,what language is the professional in,O O O B_movie I_movie O
697,how do they speak in the movie the professional,O O O O O O O B_movie I_movie
698,what language is spoken in indochine,O O O O O B_movie
699,language of the film revanche,O O O O B_movie
700,what language was aguirre wrath of god in,O O O B_movie I_movie I_movie I_movie O
701,what language is passion of the christ in,O O O B_movie I_movie I_movie I_movie O
702,i want to know in what language was ju on filmed,O O O O O O O O B_movie I-movie O
703,i want to know the original language of ju on,O O O O O O O O B_movie I_movie
704,tell me the language of ju on,O O O O O B_movie I_movie
705,what language is ju on on,O O O B_movie I_movie O
706,what language is the movie elling in,O O O O O B_movie O
707,language of a separation,O O B_movie I_movie
708,what s the language of moscow does not believe in tears,O O O O O B_movie I_movie I_movie I_movie I_movie I_movie
709,what is the language of the movie aankhen,O O O O O O O B_movie
710,can you tell me the language of the movie aankhen,O O O O O O O O O B_movie
711,what are the names of films produced by steven spielberg,O O O O O O O O B_producer I_producer
712,can you tell me names of some movies by director martin scorsese,O O O O O O O O O O B_director I_director
713,find movie titles,O O O
714,what are the names of movies made in the united states,O O O O O O O O O B_country I_country
715,i would like to know the names of all the movies which have been directed by james cameron,O O O O O O O O O O O O O O O O B_director I_director
716,what are the titles of all the movies that george lucas produced,O O O O O O O O O B_producer I_producer O
717,names of romantic indian films,O O B_genre B_country O
718,can you show me names of some indian romantic movies,O O O O O O O B_country B_genre O
719,i would like to know names of some indian movies,O O O O O O O O B_country O
720,japanese movie titles,B_country O O
721,can you give me names of some movies having pg thirteen rating,O O O O O O O O O B_mpaa_rating I_mpaa_rating O
722,i would like to get names of some movies with pg thirteen rating,O O O O O O O O O O B_mpaa_rating I_mpaa_rating O
723,show me names of some romantic movies having a pg thirteen rating,O O O O O B_genre O O O B_mpaa_rating I_mpaa_rating O
724,what are the names of movies with zombies in them,O O O O O O O B_subject O O
725,i need to know the names of all the movies produced by william packer,O O O O O O O O O O O O B_producer I_producer
726,stephen king directed what movie,B_director I_director O O O
727,what movies did stephen king direct,O O O B_director I_director O
728,watch the last james cameron movie,O O O B_director I_director O
729,find movies by release date,O O O O O
730,show movie ratings,O O O
731,movie ratings,O O
732,richard lester produced what other movies,B_producer I_producer O O O O
733,show me westerns,O O B_genre
734,was kevin bacon in apollo thirteen,O B_cast I_cast O B_movie I_movie
735,i need movie information for life is beautiful,O O O O O B_movie I_movie I_movie
736,life is beautiful movie page,B_movie I_movie I_movie O O
737,i want to know more about the movie life is beautiful,O O O O O O O O B_movie I_movie I_movie
738,i would like info on the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
739,please show me info on the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
740,search for the movie life is beautiful,O O O O B_movie I_movie I_movie
741,what are the particulars for the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
742,can i see more info the movie life is beautiful,O O O O O O O B_movie I_movie I_movie
743,can you show me info on the movie life is beautiful please,O O O O O O O O B_movie I_movie I_movie O
744,display information for the movie life is beautiful,O O O O O B_movie I_movie I_movie
745,find movies about dancing,O O O B_subject
746,i want to look up movies about dancing,O O O O O O O B_subject
747,look up movies about dancing,O O O O B_subject
748,search for movies about dancing,O O O O B_subject
749,give me a list of will ferrell films,O O O O O B_person I_person O
750,i want to see any movies will ferrell has been in,O O O O O O B_cast I_cast O O O
751,i would like to see will ferrell movies,O O O O O B_person I_person O
752,list will ferrell films,O B_person I_person O
753,movies will ferrell played in,O B_cast I_cast O O
754,what are some films will ferrell starred in,O O O O B_cast I_cast O O
755,what movies has will ferrell been in,O O O B_cast I_cast O O
756,what movies is will ferrell in,O O O B_cast I_cast O
757,will ferrell films,B_person I_person O
758,will ferrell movies,B_person I_person O
759,will ferrell movies,B_person I_person O
760,will ferell videos,B_person I_person O
761,i want to see videos of will ferrell,O O O O O O B_person I_person
762,all videos of will ferrell,O O O B_person I_person
763,can you find me movies in russian,O O O O O O B_language
764,where can i find movies in russian,O O O O O O B_language
765,find russian movies,O B_country O
766,find russian movies,O B_country O
767,search for russian movies,O O B_country O
768,show me movies from poland,O O O O B_country
769,i would like to see a polish language film,O O O O O O B_language I_language O
770,i am interested in watching a movie in polish,O O O O O O O O B_language
771,i want to see a polish movie,O O O O O O O
772,list some funny russian movies,O O O O O
773,i am looking for the information on the movie pretty women,O O O O O O O O O B_movie I_movie
774,list of barry sonnenfeld films,O O B_director I_director O
775,find martin scorsese films,O B_director I_director O
776,i want to see a movie which was directed by scorsese,O O O O O O O O O O B_director
777,show all movies directed by martin scorcese,O O O O O B_director I_director
778,movies with meg ryan,O O B_cast I_cast
779,gross earnings for movies,O O O O
780,i want to watch movies directed by jackie chan,O O O O O O O B_director I_director
781,star wars,B_movie I_movie
782,what are the plots of hotel rwanda,O O O O O B_movie I_movie
783,tim burton movies,B_director I_director O
784,bings movie page finding nemo,O O O B_movie I_movie
785,display information for film finding nemo,O O O O B_movie I_movie
786,finding nemo movie shortcut,B_movie I_movie O O
787,whats some details for the movie finding nemo,O O O O O O B_movie I_movie
788,show all details of original finding nemo movie,O O O O O B_movie I_movie O
789,get details of original finding nemo movie,O O O O B_movie I_movie O
790,finding nemo movie page,B_movie I_movie O O
791,find movie finding nemo,O O B_movie I_movie
792,display all details of original finding nemo movie,O O O O O B_movie I_movie O
793,find all details of original finding nemo movie,O O O O O B_movie I_movie O
794,what has andrew stanton directed,O O B_director I_director O
795,what movies has andrew stanton directed,O O O B_director I_director O
796,what did lee unkrich direct,O O B_director I_director O
797,i would like to see a movie with albert brooks in it,O O O O O O O O B_cast I_cast O O
798,find me films produced by drew barrymore,O O O O O B_producer I_producer
799,what movies that clint eastwood starred in did he also direct,O O O B_director I_director O O O O O O
800,what movies did clint eastwood direct and star in,O O O B_director I_director O O O O
801,i want to watch a movie by sergio leone,O O O O O O O B_director I_director
802,show sergio leone's movies,O B_director I_director O O
803,show me movies directed by sergio leone,O O O O O B_director I_director
804,movies that have been directed by tony scott,O O O O O O B_director I_director
805,show me movies from brazil,O O O O B_country
806,show me horror movie earnings,O O B_genre O O
807,movies with harrison ford,O O B_cast I_cast
808,show me only movies with harrison ford,O O O O O B_cast I_cast
809,name the movies clive owen has been in,O O O B_cast I_cast O O O
810,what movies has clive owen been in,O O O B_cast I_cast O O
811,what movies has clive owen starred in,O O O B_cast I_cast O O
812,find ms. congeniality,O B_movie I_movie
813,find spike lee directed movies,O B_director I_director O O
814,what movies did spike lee direct,O O O B_director I_director O
815,movies cecil b demille,O B_person I_person I_person
816,i want to see a comedy in spanish,O O O O O B_genre O B_language
817,find films,O O
818,find films,O O
819,find movies,O O
820,in search for movies,O O O O
821,looking for movies,O O O
822,find a movie,O O O
823,are there movies not rated g,O O O O O B_mpaa_rating
824,i don't want any g rated movies,O O O O O B_mpaa_rating O O
825,can you find some drama movies,O O O O B_genre O
826,i'd like to watch something with drama,O O O O O O B_genre
827,looking for a drama movie,O O O B_genre O
828,show me a list of movies in english,O O O O O O O B_language
829,show me english movies,O O B_language O
830,find english movies,O B_language O
831,can i get a list of movies available in english,O O O O O O O O O B_language
832,show me movies in english,O O O O B_language
833,i would like to see movies in english,O O O O O O O B_language
834,movies in english,O O B_language
835,show me a list of all movies made in the united states,O O O O O O O O O O B_country I_country
836,what are all movies made by united states,O O O O O O B_country I_country
837,what movies have been made in the united states,O O O O O O O B_country I_country
838,movies from the us,O O O B_country
839,what are all of the movies made in usa,O O O O O O O O B_country
840,i want to see movies made in america,O O O O O O O B_country
841,show me a list of movies made in america,O O O O O O O O B_country
842,show me movies made in america,O O O O O B_country
843,please tell me if you have any movies from the united states,O O O O O O O O O O B_country I_country
844,movies from the us,O O O B_country
845,please tell me about movies from the usa,O O O O O O O B_country
846,english movie list,B_language O O
847,show me thrillers,O O B_genre
848,show me thrillers,O O B_genre
849,show me comedies,O O B_genre
850,looking for a comedy movie,O O O B_genre O
851,see comedy,O B_genre
852,show me comedy movies,O O B_genre O
853,show me funny movies,O O B_genre O
854,movies that have comedy,O O O B_genre
855,can you show me a list of scary movies,O O O O O O O B_genre O
856,i am in the mood for a horror film,O O O O O O O B_genre O
857,looking for a horror movie,O O O B_genre O
858,search for horror movies,O O B_genre O
859,show me horror movies,O O B_genre O
860,show only horror movies,O O B_genre O
861,show me a list of scary movies,O O O O O B_genre O
862,i want to see a list of scary movies,O O O O O O O B_genre O
863,funny scary movies,B_genre I_genre O
864,movies by producer,O O O
865,find movies by producer,O O O O
866,movies with bruce willis,O O B_cast I_cast
867,clint eastwood movies,B_person I_person O
868,find movies from canada,O O O B_country
869,get me canadian movies,O O B_country O
870,show me movies from canada,O O O O B_country
871,look up information about canadian movies,O O O O B_country O
872,get movies from canada,O O O B_country
873,show me a list of any movies made in canada,O O O O O O O O O B_country
874,find movies filmed in canada,O O O O B_country
875,get films made in canada,O O O O B_country
876,show me canadian films,O O B_country O
877,show me canadian movies,O O B_country O
878,are there any canadian movies,O O O B_country O
879,are there any canadian movies,O O O B_country O
880,find canadian films,O B_country O
881,what are some movies made outside the us,O O O O O O O B_country
882,movies from germany,O O B_country
883,i want to watch movies from germany,O O O O O O B_country
884,display movies made in germany,O O O O B_country
885,find movies done in germany,O O O O B_country
886,what movies do you have that were made in italy,O O O O O O O O O B_country
887,movies from italy,O O B_country
888,does italy make any movies,O B_country O O O
889,find italian movies,O B_country O
890,italian films,B_country O
891,italian movies,B_country O
892,show me italian movies,O O B_country O
893,get all italian language movies,O O B_language I_language O
894,send me movies that are in italian,O O O O O O B_language
895,movies with italian language,O O B_language I_language
896,show me movies in italian,O O O O B_language
897,what movies are in italian,O O O O B_language
898,search for movies in italian,O O O O B_language
899,find movies in italian,O O O B_language
900,a list of all italian speaking movies,O O O O B_language O O
901,give me a list of movies from spain,O O O O O O O B_country
902,see movies from spain,O O O B_country
903,movies from spain,O O B_country
904,movies from spain,O O B_country
905,i want to see movies from spain,O O O O O O B_country
906,movies made in spain,O O O B_country
907,are there any movies made in spain,O O O O O O B_country
908,bring up spanish movies,O O B_language O
909,can you show me movies spanish,O O O O O B_language
910,can you show me spanish movies,O O O O B_language O
911,find spanish movies,O B_language O
912,find spanish movies,O B_language O
913,get me spanish movies,O O B_language O
914,I'd like a list of spanish movies,O O O O O B_language O
915,I'd like to know some spanish movies,O O O O O B_language O
916,i want only spanish movies,O O O B_language O
917,i want to look up spanish movies,O O O O O B_language O
918,list spanish movies,O B_language O
919,list spanish movies,O B_language O
920,look for spanish movies,O O B_language O
921,search for spanish movies,O O B_language O
922,search for spanish movies,O O B_language O
923,show me spanish movies,O O B_language O
924,spanish movie listing,B_language O O
925,spanish movies,B_language O
926,find romance movies,O B_genre O
927,give me a list of romance movies,O O O O O B_genre O
928,find me romantic movies,O O B_genre O
929,i want to find romantic movies,O O O O B_genre O
930,locate romantic movies for me,O B_genre O O O
931,list some movies that are in french,O O O O O O B_language
932,find french language movies,O B_language I_language O
933,find movies in french,O O O B_language
934,find movies is french,O O O B_language
935,list movies in french,O O O B_language
936,look for movies in french,O O O O B_language
937,search for movies in french,O O O O B_language
938,search for movies in french,O O O O B_language
939,show me movies produced in french,O O O O O B_language
940,show movies in french,O O O B_language
941,show only movies that are in french,O O O O O O B_language
942,find french language movies,O B_language I_language O
943,list of all french speaking films,O O O B_language O O
944,list of french language movies,O O B_language I_language O
945,show me movies in french,O O O O B_language
946,can you list movies in french,O O O O O B_language
947,find all films showing in french,O O O O O B_language
948,show me a list of all the movies produced by william packer,O O O O O O O O O O B_producer I_producer
949,information about movie,O O O
950,show me information about movie,O O O O O
951,show me information on movie,O O O O O
952,tell me about movie,O O O O
953,please show me all of the films that involve kevin bacon,O O O O O O O O O B_person I_person
954,i want movies about 9-11,O O O O B_subject
955,what other movies has bill paxton starred in,O O O O B_cast I_cast O O
956,find some suspenseful movies,O O B_genre O
957,a movie based on time travel,O O O O B_subject I_subject
958,find time travel movies,O B_subject I_subject O
959,give me a list of time travel movies,O O O O O B_subject I_subject O
960,movies about time travel,O O B_subject I_subject
961,show me movies about time travel,O O O O B_subject I_subject
962,show me movies with time travel themes,O O O O B_subject I_subject O
963,show me time travel movies,O O B_subject I_subject O
964,show videos about time travel,O O O B_subject I_subject
965,time travel movies,B_subject I_subject O
966,what are movies whose topic involves time travel,O O O O O O B_subject I_subject
967,movies about time travel,O O B_subject I_subject
968,movies about time travel,O O B_subject I_subject
969,show me movies about time travel,O O O O B_subject I_subject
970,show me movies about time travel,O O O O B_subject I_subject
971,show me some movies that are related to time travel,O O O O O O O O B_subject I_subject
972,what are some movies that involve time travel,O O O O O O B_subject I_subject
973,what movies discuss time travel,O O O B_subject I_subject
974,quentin tarrantino movies,B_director I_director O
975,what movies did quentin terrantino direct,O O O B_director I_director O
976,list the movies anna paquin has starred in,O O O B_cast I_cast O O O
977,movies from england,O O B_country
978,movies from england,O O B_country
979,movies from england please,O O B_country O
980,show me england movies,O O B_country O
981,show me movies from england,O O O O B_country
982,show me movies made in england,O O O O O B_country
983,find movies directed by chris columbus,O O O O B_director I_director
984,what other movies has richard lester directed,O O O O B_director I_director O
985,search for movies by language,O O O O O
986,mandarin movie please,B_language O O
987,please find a movie in mandarin,O O O O O B_language
988,movie made in mandarin,O O O B_language
989,which movies are originally in a foreign language,O O O O O O O O
990,find me tamil movies,O O B_language O
991,show me the latest movies in tamil,O O O O O O B_language
992,find hindi movies,O B_language O
993,find movies in hindi,O O O B_language
994,list the hindi movies,O O B_language O
995,what is hindi,O O B_language
996,i would like to get a list of movie names in hindi language,O O O O O O O O O O O B_language I_language
997,what films are not spoken in english,O O O O O O B_language
998,what movies are spoken in another language,O O O O O O O
999,i want to watch a romance made in india,O O O O O B_genre O O B_country
1000,i need to get a list of some romantic indian movies,O O O O O O O O B_genre I_country O
1001,find movies from india,O O O B_country
1002,look up movies from india,O O O O B_country
1003,see movies from india,O O O B_country
1004,find indian movies,O B_country O
1005,give me a list of some indian movies,O O O O O O B_country O
1006,brian de palma movies,B_director I_director I_director O
1007,complete list of movies made by searchlight films,O O O O O O B_producer O
1008,list movies by searchlight films,O O O B_producer O
1009,list of movies produced by searchlight films,O O O O O B_producer O
1010,what are some movies made by searchlight films,O O O O O O B_producer O
1011,movies about bank robberies,O O B_subject I_subject
1012,show me sarah polley movies,O O B_person I_person O
1013,show me french r rated dramas,O O B_language B_mpaa_rating O B_genre
1014,list french language comedy films,O B_language I_language B_genre O
1015,show french comedy films,O B_language B_genre O
1016,what are some movies that were produced in europe,O O O O O O O O B_country
1017,films produced by laurie macdonald,O O O B_producer I_producer
1018,find me dreamworks films,O O B_producer O
1019,movie by dreamworks,O O B_producer
1020,movie made by dreamworks,O O O B_producer
1021,what movies are made by dreamworks,O O O O O B_producer
1022,i'm looking for the cost of some movies,O O O O O O O O
1023,what movies did kevin costner direct,O O O B_director I_director O
1024,dirty dancing movie,B_movie I_movie O
1025,dirty dancing movie short cuts,B_movie I_movie O O O
1026,show me the dirty dancing movie,O O O B_movie I_movie O
1027,will you please show me info on the movie dirty dancing,O O O O O O O O O B_movie I_movie
1028,find the movie dirty dancing,O O O B_movie I_movie
1029,get me info for the movie dirty dancing,O O O O O O B_movie I_movie
1030,i need to get every possible information related with the movie dirty dancing,O O O O O O O O O O O B_movie I_movie
1031,i want to see infomation on the movie dirty dancing,O O O O O O O O B_movie I_movie
1032,i would like to get all the information about the movie dirty dancing,O O O O O O O O O O O B_movie I_movie
1033,please show me info on the movie dirty dancing,O O O O O O O B_movie I_movie
1034,show me all the information about the movie dirty dancing like story reviews cast etc,O O O O O O O O B_movie I_movie O O O O O
1035,show me info on the movie dirty dancing please,O O O O O O B_movie I_movie O
1036,show me information for the movie dirty dancing,O O O O O O B_movie I_movie
1037,show me more details for the movie dirty dancing,O O O O O O O B_movie I_movie
1038,can you please show me info on the movie dirty dancing,O O O O O O O O O B_movie I_movie
1039,can you tell me about the movie dirty dancing in detail,O O O O O O O B_movie I_movie O O
1040,what films has robert redford directed,O O O B_director I_director O
1041,i want to see a robert redford produced movie,O O O O O B_producer I_producer O O
1042,i would like to see something produced by robert redford,O O O O O O O O B_producer I_producer
1043,bette midler movies,B_person I_person O
1044,bette midler movies please,B_person I_person O O
1045,show bette midler movies,O B_person I_person O
1046,show me cameron diaz movies,O O B_person I_person O
1047,show me movies with jennifer aniston,O O O O B_cast I_cast
1048,russell crowe movies,B_person I_person O
1049,about life is beautiful,O B_movie I_movie I_movie
1050,details about life is beautiful please,O O B_movie I_movie I_movie O
1051,find synopsis for life is beautiful,O O O B_movie I_movie I_movie
1052,i need page on life is beautiful,O O O O B_movie I_movie I_movie
1053,i want information about life is beautiful,O O O O B_movie I_movie I_movie
1054,i want to know about life is beautiful,O O O O O B_movie I_movie I_movie
1055,i would like to view info on life is beautiful,O O O O O O O B_movie I_movie I_movie
1056,life is beautiful,B_movie I_movie I_movie
1057,run a search for life is beautiful,O O O O B_movie I_movie I_movie
1058,show me life is beautiful information,O O B_movie I_movie I_movie O
1059,what's the synopsis of life is beatiful,O O O O B_movie I_movie I_movie
1060,footloose,B_movie
1061,show jason statham movies,O B_person I_person O
1062,list statham's movies,O B_person O O
1063,find movies from new zealand,O O O B_country I_country
1064,show me the movies acted by bala krishna,O O O O O O B_cast I_cast
1065,korean language movie,B_language I_language O
1066,show me korean language movie,O O B_language I_language O
1067,can you find the movies with korean language,O O O O O O B_language I_language
1068,show me movies that are in korean,O O O O O O B_language
1069,portugese movies,B_country O
1070,current movie options for today with patrick swayze,O O O O O O B_cast I_cast
1071,display all results for dirty dancing,O O O O B_movie I_movie
1072,find information on dirty dancing,O O O B_movie I_movie
1073,search for dirty dancing,O O B_movie I_movie
1074,search for dirty dancing,O O B_movie I_movie
1075,how can i view dirty dancing,O O O O B_movie I_movie
1076,dirty dancing facts,B_movie I_movie O
1077,did alfred hitchcock direct a comedy,O B_director I_director O O B_genre
1078,martin lawrence directed what movie,B_director I_director O O O
1079,find movies from japan,O O O B_country
1080,show me movies from japan,O O O O B_country
1081,show me movies from japan,O O O O B_country
1082,what are some movies made in japan,O O O O O O B_country
1083,what movies came from japan,O O O O B_country
1084,which movies were made in japan,O O O O O B_country
1085,i want to find a list of movies made in japan,O O O O O O O O O O B_country
1086,do you have any movies made in japan,O O O O O O O B_country
1087,find japanese movies,O B_country O
1088,find japanese movies,O B_country O
1089,give me some names of japanese movies,O O O O O B_country O
1090,i want japanese movies,O O B_country O
1091,i want to see japanese movies,O O O O B_country O
1092,i would like to know names of some of the japanese movies,O O O O O O O O O O B_country O
1093,japanese movies,B_country O
1094,show me a list of some japanese movies,O O O O O O B_country O
1095,show me japanese movies,O O B_country O
1096,sort in all japanese movies,O O O B_country O
1097,do you have a list of japanese movies,O O O O O O B_country O
1098,i want to see a film in japanese,O O O O O O O B_language
1099,show me movies in japanese,O O O O B_language
1100,films with japaneese,O O B_language
1101,what movies have people speaking japanese in them,O O O O O B_language O O
1102,what are some japanese movies,O O O B_country O
1103,find movies in british english,O O O B_language I_language
